,Unnamed: 0,DATETIMEDATA,PM25,O3,WS,TEMP,RH,WD,stationID
0,0,2024-01-01 00:00:00,16.5,16.0,1,27.0,79,115,44t
1,1,2024-01-00,34.2,0.0,1,26.0,84,96,44t
3,3,2024-01-01 03:00:01 01:00:00,33.6,0.0,1,27.0,82,97,44t
2,2,2024-01-01 02:00:00,20.1,0.0,1,26.0,82,108,44t
4,4,2024-01-01 04:00:00,16.5,1.0,1,27.0,79,106,44t
5,5,2024-01-01 05:00:00,15.4,1.0,1,26.0,82,108,44t
6,6,2024-01-01 06:00:00,15.7,7.0,1,26.0,82,109,44t
7,7,2024-01-01 07:00:00,18.1,1.0,1,27.0,79,114,44t
8,8,2024-01-01 08:00:00,19.5,0.0,1,28.0,72,110,44t
9,9,2024-01-01 09:00:00,17.5,1.0,1,29.0,68,120,44t
10,10,2024-01-01 10:00:00,16.4,11.415652173913044,1,30.0,65,151,44t
11,11,2024-01-01 11:00:00,15.8,9.0,1,31.0,60,177,44t
12,12,2024-01-01 12:00:00,16.7,14.0,1,32.0,57,174,44t
13,13,2024-01-01 13:00:00,14.8,25.0,1,32.0,53,157,44t
14,14,2024-01-01 14:00:00,13.4,0.0,1,32.0,50,144,44t
15,15,2024-01-01 15:00:00,10.4,21.0,1,32.0,52,151,44t
16,16,2024-01-01 16:00:00,11.4,21.0,1,31.0,56,146,44t
17,17,2024-01-01 17:00:00,12.7,0.0,2,30.0,62,128,44t
18,18,2024-01-01 18:00:00,13.9,19.0,1,29.0,71,148,44t
19,19,2024-01-01 19:00:00,14.5,10.0,1,28.0,75,149,44t
20,20,2024-01-01 20:00:00,13.1,0.0,1,28.0,76,121,44t
21,21,2024-01-01 21:00:00,15.2,0.0,1,28.0,76,116,44t
22,22,2024-01-01 22:00:00,16.9,2.0,1,28.0,78,116,44t
23,23,2024-01-01 23:00:00,15.2,2.0,1,28.0,79,117,44t
24,24,2024-01-02 00:00:00,12.4,0.0,2,27.0,79,120,44t
25,25,2024-01-02 01:00:00,11.8,7.0,1,27.0,80,114,44t
26,26,2024-01-02 02:00:00,12.5,0.0,1,26.0,85,106,44t
27,27,2024-01-02 03:00:00,13.5,1.0,1,26.0,89,105,44t
28,28,2024-01-02 04:00:00,14.9,1.0,1,25.0,91,107,44t
29,29,2024-01-02 05:00:00,12.6,1.0,1,25.0,93,103,44t
30,30,2024-01-02 06:00:00,15.2,0.0,1,25.0,92,105,44t
31,31,2024-01-02 07:00:00,19.3,2.0,1,26.0,88,106,44t
32,32,2024-01-02 08:00:00,18.7,0.0,1,29.0,72,118,44t
33,33,2024-01-02 09:00:00,17.2,9.0,2,30.0,66,129,44t
34,34,2024-01-02 10:00:00,11.7,22.0,1,31.0,59,132,44t
35,35,2024-01-02 11:00:00,12.5,11.415652173913044,1,31.0,55,193,44t
36,36,2024-01-02 12:00:00,11.3,10.0,1,32.0,55,146,44t
37,37,2024-01-02 13:00:00,11.1,1.0,1,32.0,53,203,44t
38,38,2024-01-02 14:00:00,12.0,7.0,1,32.0,54,173,44t
39,39,2024-01-02 15:00:00,9.9,0.0,1,31.0,56,178,44t
40,40,2024-01-02 16:00:00,9.3,2.0,1,31.0,57,171,44t
41,41,2024-01-02 17:00:00,9.9,1.0,1,29.0,65,180,44t
42,42,2024-01-02 18:00:00,10.8,15.0,1,28.0,71,138,44t
43,43,2024-01-02 19:00:00,16.5,9.0,1,28.0,73,134,44t
44,44,2024-01-02 20:00:00,13.1,0.0,1,28.0,74,126,44t
45,45,2024-01-02 21:00:00,15.3,0.0,1,28.0,76,111,44t
46,46,2024-01-02 22:00:00,14.3,2.0,1,27.0,77,111,44t
47,47,2024-01-02 23:00:00,12.6,3.0,1,27.0,77,113,44t
48,48,2024-01-03 00:00:00,9.9,12.0,1,27.0,80,109,44t
49,49,2024-01-03 01:00:00,10.8,0.0,1,26.0,83,105,44t
50,50,2024-01-03 02:00:00,14.8,0.0,1,26.0,84,106,44t
51,51,2024-01-03 03:00:00,13.1,0.0,1,26.0,86,106,44t
52,52,2024-01-03 04:00:00,21.1,1.0,1,25.0,90,108,44t
53,53,2024-01-03 05:00:00,13.6,1.0,1,25.0,92,106,44t
54,54,2024-01-03 06:00:00,14.5,1.0,1,25.0,91,106,44t
55,55,2024-01-03 07:00:00,17.0,1.0,1,26.0,87,106,44t
56,56,2024-01-03 08:00:00,21.3,0.0,1,29.0,74,116,44t
57,57,2024-01-03 09:00:00,17.4,3.0,1,30.0,67,123,44t
58,58,2024-01-03 10:00:00,18.2,26.0,1,31.0,59,148,44t
59,59,2024-01-03 11:00:00,19.2,14.0,1,31.0,58,168,44t
60,60,2024-01-03 12:00:00,11.4,11.415652173913044,1,32.0,55,193,44t
61,61,2024-01-03 13:00:00,15.1,5.0,1,32.0,52,204,44t
62,62,2024-01-03 14:00:00,14.8,19.0,1,32.0,53,168,44t
63,63,2024-01-03 15:00:00,15.2,15.0,1,32.0,56,156,44t
64,64,2024-01-03 16:00:00,16.6,0.0,1,31.0,59,153,44t
65,65,2024-01-03 17:00:00,16.7,3.0,1,30.0,65,160,44t
66,66,2024-01-03 18:00:00,15.6,2.0,1,29.0,71,190,44t
67,67,2024-01-03 19:00:00,20.4,7.0,1,28.0,73,150,44t
68,68,2024-01-03 20:00:00,15.4,0.0,1,28.0,74,170,44t
69,69,2024-01-03 21:00:00,14.0,0.0,1,28.0,74,128,44t
70,70,2024-01-03 22:00:00,13.6,2.0,1,28.0,75,128,44t
71,71,2024-01-03 23:00:00,11.8,2.0,1,28.0,76,118,44t
72,72,2024-01-04 00:00:00,11.1,3.0,1,27.0,78,107,44t
73,73,2024-01-04 01:00:00,11.8,8.0,1,27.0,79,108,44t
74,74,2024-01-04 02:00:00,12.8,0.0,1,26.0,83,103,44t
75,75,2024-01-04 03:00:00,15.3,0.0,1,26.0,84,104,44t
76,76,2024-01-04 04:00:00,12.9,1.0,1,26.0,86,105,44t
77,77,2024-01-04 05:00:00,17.0,1.0,1,26.0,87,104,44t
78,78,2024-01-04 06:00:00,15.1,0.0,1,26.0,85,106,44t
79,79,2024-01-04 07:00:00,15.7,5.0,1,27.0,79,117,44t
80,80,2024-01-04 08:00:00,16.4,0.0,1,29.0,73,118,44t
81,81,2024-01-04 09:00:00,21.5,2.0,1,30.0,65,137,44t
82,82,2024-01-04 10:00:00,20.5,14.0,1,32.0,58,106,44t
83,83,2024-01-04 11:00:00,16.4,34.0,1,32.0,53,155,44t
84,84,2024-01-04 12:00:00,14.5,13.0,1,33.0,51,116,44t
85,85,2024-01-04 13:00:00,15.4,11.415652173913044,1,33.0,48,135,44t
86,86,2024-01-04 14:00:00,13.4,34.0,1,33.0,50,175,44t
87,87,2024-01-04 15:00:00,17.1,33.0,1,32.0,56,154,44t
88,88,2024-01-04 16:00:00,14.6,32.0,1,32.0,58,142,44t
89,89,2024-01-04 17:00:00,19.7,11.0,1,30.0,64,129,44t
90,90,2024-01-04 18:00:00,19.7,16.0,1,29.0,68,124,44t
91,91,2024-01-04 19:00:00,20.9,6.0,1,28.0,74,138,44t
92,92,2024-01-04 20:00:00,21.1,0.0,1,28.0,73,153,44t
93,93,2024-01-04 21:00:00,23.1,0.0,1,28.0,74,125,44t
94,94,2024-01-04 22:00:00,27.6,10.0,1,28.0,74,123,44t
95,95,2024-01-04 23:00:00,19.9,4.0,1,27.0,74,111,44t
96,96,2024-01-05 00:00:00,17.5,19.0,1,27.0,73,123,44t
97,97,2024-01-05 01:00:00,18.4,2.0,1,27.0,74,97,44t
98,98,2024-01-05 02:00:00,17.0,0.0,1,26.0,77,94,44t
99,99,2024-01-05 03:00:00,17.4,3.0,1,26.0,76,98,44t
100,100,2024-01-05 04:00:00,18.9,0.0,1,26.0,75,99,44t
101,101,2024-01-05 05:00:00,14.6,1.0,1,26.0,77,109,44t
102,102,2024-01-05 06:00:00,13.8,1.0,1,26.0,75,110,44t
103,103,2024-01-05 07:00:00,19.9,1.0,1,27.0,74,107,44t
104,104,2024-01-05 08:00:00,20.1,0.0,1,28.0,69,90,44t
105,105,2024-01-05 09:00:00,19.0,0.0,1,30.0,66,114,44t
106,106,2024-01-05 10:00:00,18.5,2.0,1,30.0,63,148,44t
107,107,2024-01-05 11:00:00,21.3,7.0,1,31.0,56,214,44t
108,108,2024-01-05 12:00:00,17.6,1.0,1,31.0,56,232,44t
109,109,2024-01-05 13:00:00,15.3,7.0,1,32.0,49,190,44t
110,110,2024-01-05 14:00:00,12.4,11.415652173913044,1,31.0,53,175,44t
111,111,2024-01-05 15:00:00,13.1,32.0,1,31.0,55,201,44t
112,112,2024-01-05 16:00:00,11.6,30.0,1,30.0,58,177,44t
113,113,2024-01-05 17:00:00,18.0,30.0,1,29.0,65,152,44t
114,114,2024-01-05 18:00:00,19.2,8.0,1,28.0,70,173,44t
115,115,2024-01-05 19:00:00,19.4,2.0,1,28.0,70,151,44t
116,116,2024-01-05 20:00:00,22.4,1.0,1,28.0,70,123,44t
117,117,2024-01-05 21:00:00,20.4,1.0,1,28.0,71,104,44t
118,118,2024-01-05 22:00:00,21.6,9.0,1,27.0,72,99,44t
119,119,2024-01-05 23:00:00,17.1,20.0,1,27.0,74,114,44t
120,120,2024-01-06 00:00:00,18.6,2.0,1,27.0,77,111,44t
121,121,2024-01-06 01:00:00,19.9,1.0,1,27.0,78,115,44t
122,122,2024-01-06 02:00:00,20.1,0.0,1,27.0,78,114,44t
123,123,2024-01-06 03:00:00,22.7,1.0,1,27.0,78,113,44t
124,124,2024-01-06 04:00:00,20.6,0.0,1,26.0,79,108,44t
125,125,2024-01-06 05:00:00,20.6,4.0,1,26.0,83,105,44t
126,126,2024-01-06 06:00:00,20.0,3.0,1,26.0,82,110,44t
127,127,2024-01-06 07:00:00,23.2,0.0,1,26.0,83,111,44t
128,128,2024-01-06 08:00:00,24.0,1.0,1,29.0,70,123,44t
129,129,2024-01-06 09:00:00,23.8,14.0,1,29.0,68,141,44t
130,130,2024-01-06 10:00:00,28.7,12.0,1,30.0,59,171,44t
131,131,2024-01-06 11:00:00,30.5,1.0,1,31.0,57,178,44t
