,PM25,O3,WS,TEMP,RH,WD
0,16.5,16.0,1,27.0,79,115
1,33.6,0.0,1,27.0,82,97
2,34.2,0.0,1,26.0,84,96
3,20.1,0.0,1,26.0,82,108
4,16.5,1.0,1,27.0,79,106
5,15.4,1.0,1,26.0,82,108
6,15.7,7.0,1,26.0,82,109
7,18.1,1.0,1,27.0,79,114
8,19.5,0.0,1,28.0,72,110
9,17.5,1.0,1,29.0,68,120
10,16.4,11.415652173913044,1,30.0,65,151
11,15.8,9.0,1,31.0,60,177
12,16.7,14.0,1,32.0,57,174
13,14.8,25.0,1,32.0,53,157
14,13.4,0.0,1,32.0,50,144
15,10.4,21.0,1,32.0,52,151
16,11.4,21.0,1,31.0,56,146
17,12.7,0.0,2,30.0,62,128
18,13.9,19.0,1,29.0,71,148
19,14.5,10.0,1,28.0,75,149
20,13.1,0.0,1,28.0,76,121
21,15.2,0.0,1,28.0,76,116
22,16.9,2.0,1,28.0,78,116
23,15.2,2.0,1,28.0,79,117
24,12.4,0.0,2,27.0,79,120
25,11.8,7.0,1,27.0,80,114
26,12.5,0.0,1,26.0,85,106
27,13.5,1.0,1,26.0,89,105
28,14.9,1.0,1,25.0,91,107
29,12.6,1.0,1,25.0,93,103
30,15.2,0.0,1,25.0,92,105
31,19.3,2.0,1,26.0,88,106
32,18.7,0.0,1,29.0,72,118
33,17.2,9.0,2,30.0,66,129
34,11.7,22.0,1,31.0,59,132
35,12.5,11.415652173913044,1,31.0,55,193
36,11.3,10.0,1,32.0,55,146
37,11.1,1.0,1,32.0,53,203
38,12.0,7.0,1,32.0,54,173
39,9.9,0.0,1,31.0,56,178
40,9.3,2.0,1,31.0,57,171
41,9.9,1.0,1,29.0,65,180
42,10.8,15.0,1,28.0,71,138
43,16.5,9.0,1,28.0,73,134
44,13.1,0.0,1,28.0,74,126
45,15.3,0.0,1,28.0,76,111
46,14.3,2.0,1,27.0,77,111
47,12.6,3.0,1,27.0,77,113
48,9.9,12.0,1,27.0,80,109
49,10.8,0.0,1,26.0,83,105
50,14.8,0.0,1,26.0,84,106
51,13.1,0.0,1,26.0,86,106
52,21.1,1.0,1,25.0,90,108
53,13.6,1.0,1,25.0,92,106
54,14.5,1.0,1,25.0,91,106
55,17.0,1.0,1,26.0,87,106
56,21.3,0.0,1,29.0,74,116
57,17.4,3.0,1,30.0,67,123
58,18.2,26.0,1,31.0,59,148
59,19.2,14.0,1,31.0,58,168
60,11.4,11.415652173913044,1,32.0,55,193
61,15.1,5.0,1,32.0,52,204
62,14.8,19.0,1,32.0,53,168
63,15.2,15.0,1,32.0,56,156
64,16.6,0.0,1,31.0,59,153
65,16.7,3.0,1,30.0,65,160
66,15.6,2.0,1,29.0,71,190
67,20.4,7.0,1,28.0,73,150
68,15.4,0.0,1,28.0,74,170
69,14.0,0.0,1,28.0,74,128
70,13.6,2.0,1,28.0,75,128
71,11.8,2.0,1,28.0,76,118
72,11.1,3.0,1,27.0,78,107
73,11.8,8.0,1,27.0,79,108
74,12.8,0.0,1,26.0,83,103
75,15.3,0.0,1,26.0,84,104
76,12.9,1.0,1,26.0,86,105
77,17.0,1.0,1,26.0,87,104
78,15.1,0.0,1,26.0,85,106
79,15.7,5.0,1,27.0,79,117
80,16.4,0.0,1,29.0,73,118
81,21.5,2.0,1,30.0,65,137
82,20.5,14.0,1,32.0,58,106
83,16.4,34.0,1,32.0,53,155
84,14.5,13.0,1,33.0,51,116
85,15.4,11.415652173913044,1,33.0,48,135
86,13.4,34.0,1,33.0,50,175
87,17.1,33.0,1,32.0,56,154
